iso,nodetype,node,curve,year,error
ercot,busbar,DDPEC_ST1,rtm,2017,Error: Bad gzip file
ercot,busbar,U,rtm,2022,Error: Bad gzip file
ercot,busbar,U,rtm,2023,Error: Bad gzip file
ercot,busbar,2,rtm,2022,Error: Bad gzip file
ercot,busbar,2,rtm,2023,Error: Bad gzip file
ercot,busbar,ODESW_RN,rtm,2020,Error: Bad gzip file
ercot,busbar,ODESW_RN,rtm,2021,Error: Bad gzip file
ercot,busbar,ODESW_RN,rtm,2022,Error: Bad gzip file
ercot,node,AZ_ALL,fmm,2017,Error: Bad frequency in data
ercot,node,BLSMT1_5_A_6,fmm,2017,Error: Bad frequency in data
ercot,node,CBY4_ALL,fmm,2017,Error: Bad frequency in data
ercot,node,CCEC_CC1,fmm,2017,Error: Bad frequency in data
ercot,node,DOW_61_2_63,fmm,2017,Error: Bad frequency in data
ercot,node,GUADG_CC1,fmm,2017,Error: Bad frequency in data
ercot,node,LGE_CC1,fmm,2017,Error: Bad frequency in data
ercot,node,RN_ECEC_HOLT,fmm,2017,Error: Bad frequency in data
ercot,node,AMOCOOIL_CC2,fmm,2017,Error: Bad frequency in data
ercot,node,BYU_PUN2,fmm,2017,Error: Bad frequency in data
ercot,node,DENISON_G1_2,fmm,2017,Error: Bad frequency in data
ercot,node,DIB_CC1,fmm,2017,Error: Bad frequency in data
ercot,node,DUKE_GST1CCU,fmm,2017,Error: Bad frequency in data
ercot,node,DUP_PUN4,fmm,2017,Error: Bad frequency in data
ercot,node,EXGNWTL_1,fmm,2017,Error: Bad frequency in data
ercot,node,FO_FORMOSA11,fmm,2017,Error: Bad frequency in data
ercot,node,HELIOS_RN,fmm,2017,Error: Bad frequency in data
ercot,node,HOVEY_GEN,fmm,2017,Error: Bad frequency in data
ercot,node,IND_INADALE1,fmm,2017,Error: Bad frequency in data
ercot,node,LHM_PUN2,fmm,2017,Error: Bad frequency in data
ercot,node,LV3_RN,fmm,2017,Error: Bad frequency in data
ercot,node,LZ_WEST,fmm,2017,Error: Bad frequency in data
ercot,node,LZ_WEST,fmm,2022,Error: Bad frequency in data
ercot,node,PENA_ALL,fmm,2017,Error: Bad frequency in data
ercot,node,PSG_PSG_GT2,fmm,2017,Error: Bad frequency in data
